idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
155,4.0,4,10,30,30,40,3.0,127,7.72,7.19,1.02,0.5354,1.26
156,4.0,4,10,30,30,55,3.0,142,2.31,9.21,0.48,0.4789,1.1
157,4.0,4,10,50,20,40,3.0,129,13.89,11.71,1.09,0.5349,1.27
158,4.0,4,10,50,20,55,3.0,165,-21.18,30.09,-1.08,0.4485,0.77
159,4.0,4,10,50,30,40,3.0,127,12.62,11.71,1.02,0.5354,1.24
160,4.0,4,10,50,30,55,3.0,142,3.28,15.04,0.48,0.4789,1.09
161,4.0,4,15,30,20,40,3.0,126,8.29,7.6,1.06,0.5397,1.28
162,4.0,4,15,30,20,55,3.0,162,-12.13,17.37,-0.94,0.4444,0.8
163,4.0,4,15,30,30,40,3.0,124,7.56,7.6,0.98,0.5403,1.26
164,4.0,4,15,30,30,55,3.0,138,1.65,9.49,0.41,0.4783,1.09
165,4.0,4,15,50,20,40,3.0,126,13.6,12.36,1.06,0.5397,1.27
166,4.0,4,15,50,20,55,3.0,162,-19.88,27.61,-0.94,0.4444,0.79
167,4.0,4,15,50,30,40,3.0,124,12.33,12.36,0.98,0.5403,1.25
168,4.0,4,15,50,30,55,3.0,138,2.2,15.47,0.41,0.4783,1.08
169,4.0,6,5,30,20,40,3.0,126,7.76,6.99,1.22,0.5317,1.27
170,4.0,6,5,30,20,55,3.0,163,-6.1,12.37,-0.32,0.4356,0.93
171,4.0,6,5,30,30,40,3.0,124,8.17,6.99,1.27,0.5403,1.29
172,4.0,6,5,30,30,55,3.0,148,1.37,9.13,0.4,0.4662,1.07
173,4.0,6,5,50,20,40,3.0,126,12.87,11.39,1.22,0.5317,1.27
174,4.0,6,5,50,20,55,3.0,163,-10.47,20.08,-0.32,0.4356,0.92
175,4.0,6,5,50,30,40,3.0,124,13.59,11.39,1.27,0.5403,1.28
176,4.0,6,5,50,30,55,3.0,148,1.73,14.9,0.4,0.4662,1.07
177,4.0,6,10,30,20,40,3.0,103,16.56,6.79,1.86,0.4951,1.59
