idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
198,4.0,8,5,50,20,55,3.0,156,7.03,16.29,0.71,0.5128,1.12
199,4.0,8,5,50,30,40,3.0,131,-26.58,29.49,-2.0,0.3969,0.67
200,4.0,8,5,50,30,55,3.0,146,2.56,15.71,0.46,0.4863,1.07
201,4.0,8,10,30,20,40,3.0,105,-6.6,13.02,-0.5,0.3524,0.88
202,4.0,8,10,30,20,55,3.0,113,17.75,8.89,1.66,0.4602,1.47
203,4.0,8,10,30,30,40,3.0,105,-6.6,13.02,-0.5,0.3524,0.88
204,4.0,8,10,30,30,55,3.0,109,9.14,9.2,1.0,0.3853,1.26
205,4.0,8,10,50,20,40,3.0,105,-11.21,20.9,-0.5,0.3524,0.87
206,4.0,8,10,50,20,55,3.0,113,30.41,14.48,1.66,0.4602,1.44
207,4.0,8,10,50,30,40,3.0,105,-11.21,20.9,-0.5,0.3524,0.87
208,4.0,8,10,50,30,55,3.0,109,14.94,14.93,1.0,0.3853,1.25
209,4.0,8,15,30,20,40,3.0,98,-1.87,9.91,0.01,0.3571,0.99
210,4.0,8,15,30,20,55,3.0,97,12.68,8.82,1.38,0.4433,1.43
211,4.0,8,15,30,30,40,3.0,97,-0.8,9.91,0.11,0.3608,1.02
212,4.0,8,15,30,30,55,3.0,96,6.65,8.75,0.82,0.375,1.24
213,4.0,8,15,50,20,40,3.0,98,-3.59,15.97,0.01,0.3571,0.98
214,4.0,8,15,50,20,55,3.0,97,21.34,14.23,1.38,0.4433,1.41
215,4.0,8,15,50,30,40,3.0,97,-1.83,15.97,0.11,0.3608,1.01
216,4.0,8,15,50,30,55,3.0,96,10.71,14.11,0.82,0.375,1.23
